Date,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other
19270210,-0.45,-0.01,0.47,-0.23,0.31,0.48,0.06,0.48,0.54,-0.04
19270211,0.12,0.69,0.53,0.05,-0.39,0.01,1.1,0.43,0.08,0.47
19270214,0.24,1.74,0.89,0.25,1.13,0.05,0.89,-0.07,0.18,0.08
19270215,0.04,-0.22,-0.17,0.68,-0.36,0.09,0.52,0.37,-0.58,0.33
19270216,0.19,-1.09,-0.12,-0.33,-0.21,0.25,-0.27,-0.22,-0.14,0.7
19270217,0.29,0.15,0.21,-0.78,-0.41,0.44,-0.16,-0.3,-0.08,1.4
19270218,0.2,0.03,0.3,-0.33,0.25,2,-0.02,-0.03,0.08,0.57
19270219,-0.13,0.06,0.17,-0.31,1.56,0.23,0.32,0.02,0.58,-0.31
19270221,0.49,0.21,0.02,-0.04,-0.39,-0.27,-0.18,-0.08,0.7,-1.03
19270223,0.88,1.85,1.29,0.11,0.69,0.05,1.18,0.33,0.6,0.49
19270224,-0.23,0.25,0.09,0.47,-0.33,0.27,0.01,0.22,0.68,0.07
19270225,0.17,0.89,0.27,-0.01,1.22,-0.08,0.02,0.56,1.3,-0.24
19270226,0.21,0.42,0.11,-0.08,-0.6,-0.18,-0.24,0.19,0.3,0.23
19270228,0.24,2.49,1.12,0.24,0.41,0.01,0.07,0.02,0.04,0.24
19270301,0.04,-1,-0.16,-0.74,0.37,-0.05,-0.78,-0.5,-0.47,-0.42
19270302,-0.74,-1.6,-1.44,-0.87,-1.71,-0.4,-1.23,-0.55,-0.94,-1.24
19270303,0.86,2.32,1.32,1.21,1.3,0.34,0.61,0.51,0.67,0.8
19270304,0.47,-0.31,-0.45,-1.54,-0.58,0.03,-0.51,0.31,-0.36,-0.46
19270305,0.37,-0.66,-0.36,-0.2,-0.2,-0.07,0.16,-0.26,-0.23,-0.4
19270307,0.23,-0.37,-0.39,-0.56,-0.44,-0.09,-0.42,0.12,-0.34,-0.53
19270308,-0.27,1.11,0.24,-0.08,-0.01,-0.08,0.71,-0.02,0.23,-0.08
19270309,0.24,1,0.77,0.72,0.32,-0.01,0.51,0.38,-0.67,0.7
19270310,0.61,0.09,0.47,0,0.41,0.25,1.07,1.18,0.91,0.75
19270311,0.1,-0.6,-0.1,0.11,0.39,-0.03,-0.22,0.71,-0.02,1.02
19270312,-0.02,0.19,0.12,-0.65,0.51,0.08,0.27,0.61,0.13,-0.11
19270314,0.3,1.76,0.42,-1.03,0.5,0.04,0.41,-0.1,0.51,-0.03
19270315,-0.48,-0.86,-0.78,-1.62,-0.59,0.07,-0.78,-0.51,-0.53,-0.8
19270316,0.31,1.53,0.98,0.78,0.75,4.12,0.54,0.79,0.6,0.83
19270317,0.57,-0.26,0.44,0.69,0.56,0.71,0.08,-0.4,0.42,0.56
19270318,-0.51,-0.45,-0.6,-0.97,-0.72,-2.05,-0.68,-0.27,-0.32,-0.92
19270319,0.13,0.37,-0.08,-0.1,0.01,0,-0.27,-0.23,0.35,0.11
19270321,-0.1,0.01,0.23,0.18,0.03,-0.04,0.76,-0.29,-0.34,0.57
19270322,-0.63,-2.18,-1.53,-0.62,-1,-0.2,-0.99,-0.8,-0.78,-1.04
19270323,0.03,-0.53,0.64,-0.19,0.14,0.12,0.03,-0.17,1.02,0.3
